"Date","Price","Open","High","Low","Vol.","Change %"
"05-09-2017","31,809.55","31,755.16","31,863.47","31,674.23","8.22M","0.34%"
"04-09-2017","31,702.25","31,932.20","31,932.20","31,560.32","7.80M","-0.60%"
"01-09-2017","31,892.23","31,769.34","31,944.10","31,707.27","6.77M","0.51%"
"31-08-2017","31,730.49","31,685.44","31,757.18","31,551.85","18.50M","0.27%"
"30-08-2017","31,646.46","31,534.57","31,727.98","31,533.02","5.57M","0.82%"
"29-08-2017","31,388.39","31,724.84","31,739.80","31,360.81","6.99M","-1.14%"
"28-08-2017","31,750.82","31,756.87","31,809.70","31,701.67","10.45M","0.49%"
"24-08-2017","31,596.06","31,673.44","31,678.19","31,546.05","9.22M","0.09%"
"23-08-2017","31,568.01","31,407.47","31,593.39","31,379.25","10.28M","0.88%"
"22-08-2017","31,291.85","31,393.93","31,484.28","31,241.50","11.14M","0.11%"
"21-08-2017","31,258.85","31,609.93","31,641.81","31,220.53","24.33M","-0.84%"
"18-08-2017","31,524.68","31,729.88","31,729.88","31,349.13","16.88M","-0.85%"
"17-08-2017","31,795.46","31,919.17","31,937.51","31,714.10","8.83M","0.08%"
"16-08-2017","31,770.89","31,566.24","31,805.99","31,399.35","12.91M","1.02%"
"14-08-2017","31,449.03","31,299.52","31,526.40","31,298.90","9.95M","0.75%"
"11-08-2017","31,213.59","31,355.92","31,379.20","31,128.02","15.66M","-1.01%"
"10-08-2017","31,531.33","31,750.73","31,756.27","31,422.80","13.41M","-0.84%"
"09-08-2017","31,797.84","31,926.14","31,967.28","31,731.91","9.63M","-0.68%"
"08-08-2017","32,014.19","32,341.05","32,354.77","31,915.20","9.65M","-0.80%"
"07-08-2017","32,273.67","32,377.80","32,396.14","32,235.82","10.69M","-0.16%"
"04-08-2017","32,325.41","32,191.12","32,352.19","32,107.99","11.61M","0.27%"
"03-08-2017","32,237.88","32,502.55","32,502.55","32,194.58","12.96M","-0.74%"
"02-08-2017","32,476.74","32,641.58","32,686.48","32,394.89","10.77M","-0.30%"
"01-08-2017","32,575.17","32,579.80","32,632.02","32,462.25","9.28M","0.19%"
"31-07-2017","32,514.94","32,412.20","32,546.50","32,324.45","13.48M","0.63%"
"28-07-2017","32,309.88","32,381.36","32,381.36","32,104.66","11.62M","-0.23%"
"27-07-2017","32,383.30","32,519.44","32,672.66","32,325.33","11.21M","0.00%"
"26-07-2017","32,382.46","32,255.99","32,413.63","32,226.08","12.84M","0.48%"
"25-07-2017","32,228.27","32,350.71","32,374.30","32,196.86","14.53M","-0.05%"
"24-07-2017","32,245.87","32,100.22","32,320.86","32,058.33","11.90M","0.68%"
"21-07-2017","32,028.89","32,035.88","32,062.23","31,808.93","18.56M","0.39%"
"20-07-2017","31,904.40","32,033.82","32,057.12","31,859.50","11.51M","-0.16%"
